Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
InternetGatewayDevice.DeviceInfo.X_HW_Syslog.Level,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"7",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.DeviceInfo.X_HW_UpPortMode,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"1",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.DeviceSummary,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"InternetGatewayDevice:1.1[](Baseline:1, EthernetLAN:1, USBLAN:1, WiFiLAN:1, ADSLWAN:1, Time:1, IPPing:1, ATMLoopback:1, DSLDiagnostics:1 DeviceAssociation:1)",xsd:string,2024-03-17T06:42:51.607Z,,,,
InternetGatewayDevice.DownloadDiagnostics,true,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",,,,,,
InternetGatewayDevice.DownloadDiagnostics.BOMTime,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"",xsd:dateTime,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.DownloadDiagnostics.DSCP,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"0",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.DownloadDiagnostics.DiagnosticsState,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"None",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.DownloadDiagnostics.DownloadURL,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.DownloadDiagnostics.EOMTime,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"",xsd:dateTime,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.DownloadDiagnostics.EthernetPriority,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"0",xsd:unsignedInt,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.DownloadDiagnostics.Interface,false,2024-03-17T06:42:51.606Z,true,2024-03-17T06:42:51.606Z,"",xsd:string,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.DownloadDiagnostics.ROMTime,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"",xsd:dateTime,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.DownloadDiagnostics.TCPOpenRequestTime,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"",xsd:dateTime,2024-03-17T06:42:51.610Z,,,,
InternetGatewayDevice.DownloadDiagnostics.TCPOpenResponseTime,false,2024-03-17T06:42:51.606Z,false,2024-03-17T06:42:51.606Z,"",xsd:dateTime,2024-03-17T06:42:51.610Z,,,,
